feature,or,ci_lower,ci_upper,p_value,adjusted_p_value
Long-term (current) use of insulin,0.716,0.649,0.789,0.0,0.0
Hypertrophy (benign) of prostate without urinary obstruction and other lower urinary tract symptom (LUTS),0.714,0.643,0.792,0.0,0.0
"Constipation, unspecified",0.701,0.626,0.784,0.0,0.0
"Major depressive disorder, single episode, unspecified",0.7,0.621,0.789,0.0,0.0
"Depressive disorder, not elsewhere classified",0.698,0.638,0.764,0.0,0.0
Esophageal reflux,0.69,0.649,0.733,0.0,0.0
Hypokalemia,0.689,0.604,0.786,0.0,0.0
Personal history of malignant neoplasm of prostate,0.683,0.595,0.784,0.0,0.0
Acute posthemorrhagic anemia,0.671,0.603,0.746,0.0,0.0
Long-term (current) use of anticoagulants,0.665,0.614,0.719,0.0,0.0
Nonspecific elevation of levels of transaminase and lactic acid dehydrogenase [LDH],0.662,0.554,0.791,0.0,0.0
Aphagia,0.661,0.565,0.774,0.0,0.0
"Collapsed vertebra, not elsewhere classified, sacral and sacrococcygeal region, initial encounter for fracture",0.659,0.522,0.832,0.0,0.0
Encounter for examination for normal comparison and control in clinical research program,0.658,0.554,0.782,0.0,0.0
"Retention of urine, unspecified",0.651,0.567,0.747,0.0,0.0
Unspecified place or not applicable,0.649,0.561,0.751,0.0,0.0
Diaphragmatic hernia without mention of obstruction or gangrene,0.648,0.525,0.8,0.0,0.0
Other obesity due to excess calories,0.644,0.554,0.748,0.0,0.0
Friedländer's bacillus infection in conditions classified elsewhere and of unspecified site,0.639,0.512,0.797,0.0,0.0
Paralytic gait,0.638,0.511,0.796,0.0,0.0
Secondary esophageal varices without bleeding,0.635,0.504,0.8,0.0,0.0
Personal history of urinary (tract) infections,0.635,0.494,0.817,0.0,0.0
Dilated cardiomyopathy,0.632,0.543,0.736,0.0,0.0
Orthostatic hypotension,0.632,0.52,0.768,0.0,0.0
"Chronic kidney disease, stage 3 (moderate)",0.632,0.534,0.749,0.0,0.0
"Anemia, unspecified",0.631,0.586,0.68,0.0,0.0
"Osteoporosis, unspecified",0.631,0.569,0.7,0.0,0.0
Other secondary thrombocytopenia,0.63,0.516,0.769,0.0,0.0
Long-term (current) use of aspirin,0.627,0.554,0.71,0.0,0.0
"Other surgical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure",0.624,0.53,0.734,0.0,0.0
Personal history of tobacco use,0.623,0.584,0.665,0.0,0.0
Iron deficiency anemia secondary to blood loss (chronic),0.62,0.498,0.772,0.0,0.0
Toxic encephalopathy,0.619,0.515,0.744,0.0,0.0
Presence of right artificial knee joint,0.618,0.534,0.715,0.0,0.0
Drug induced retention of urine,0.614,0.479,0.786,0.0,0.0
Familial hypophosphatemia,0.611,0.508,0.735,0.0,0.0
Type 2 diabetes mellitus with diabetic amyotrophy,0.61,0.491,0.758,0.0,0.0
Unspecified Escherichia coli [E. coli] as the cause of diseases classified elsewhere,0.608,0.509,0.725,0.0,0.0
"Nausea with vomiting, unspecified",0.605,0.499,0.735,0.0,0.0
"Body Mass Index less than 19, adult",0.599,0.472,0.76,0.0,0.0
Chronic diastolic heart failure,0.597,0.511,0.696,0.0,0.0
Subway car as the place of occurrence of the external cause,0.595,0.448,0.79,0.0,0.0
"Alcohol abuse with intoxication, unspecified",0.594,0.501,0.704,0.0,0.0
Personal history of malignant melanoma of skin,0.594,0.475,0.743,0.0,0.0
Family history of ischemic heart disease and other diseases of the circulatory system,0.593,0.473,0.743,0.0,0.0
"Disorder of vein, unspecified",0.591,0.478,0.73,0.0,0.0
"Nicotine dependence, other tobacco product, in remission",0.584,0.53,0.642,0.0,0.0
"Methicillin susceptible Staphylococcus aureus infection, unspecified site",0.578,0.445,0.749,0.0,0.0
"Disorder of cartilage, unspecified",0.572,0.459,0.713,0.0,0.0
Acute diastolic heart failure,0.564,0.421,0.753,0.0,0.0
Unspecified glaucoma,0.563,0.487,0.65,0.0,0.0
"Surgical operation with implant of artificial internal device as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure",0.563,0.449,0.708,0.0,0.0
Patient's unintentional underdosing of medication regimen due to age-related debility,0.563,0.467,0.678,0.0,0.0
Cough,0.552,0.409,0.746,0.0,0.0
"Unspecified hearing loss, bilateral",0.551,0.432,0.702,0.0,0.0
Junctional premature depolarization,0.551,0.428,0.711,0.0,0.0
Gastrostomy status,0.536,0.412,0.697,0.0,0.0
Diarrhea,0.529,0.462,0.607,0.0,0.0
"Osteoarthrosis, localized, not specified whether primary or secondary, lower leg",0.526,0.368,0.752,0.0,0.0
Abnormal urine levels of substances chiefly nonmedicinal as to source,0.515,0.373,0.711,0.0,0.0
Secondary malignant neoplasm of unspecified digestive organ,0.512,0.36,0.728,0.0,0.0
Postprocedural pelvic peritoneal adhesions,0.512,0.351,0.745,0.0,0.0
Internal hemorrhoids without mention of complication,0.507,0.347,0.74,0.0,0.0
Anemia in chronic kidney disease,0.502,0.436,0.578,0.0,0.0
Other specified noninfective gastroenteritis and colitis,0.501,0.377,0.666,0.0,0.0
"Vascular headache, not elsewhere classified",0.499,0.384,0.649,0.0,0.0
"Acute embolism and thrombosis of unspecified deep veins of proximal lower extremity, bilateral",0.496,0.378,0.651,0.0,0.0
Other nonspecific abnormal finding of lung field,0.493,0.345,0.704,0.0,0.0
Pain in unspecified shoulder,0.485,0.339,0.692,0.0,0.0
"Insomnia, unspecified",0.485,0.412,0.571,0.0,0.0
Malignant essential hypertension,0.483,0.44,0.531,0.0,0.0
"Reflex neuropathic bladder, not elsewhere classified",0.481,0.328,0.705,0.0,0.0
"Diastolic heart failure, unspecified",0.476,0.354,0.642,0.0,0.0
"Legal blindness, as defined in USA",0.474,0.351,0.64,0.0,0.0
"Nutritional anemia, unspecified",0.468,0.362,0.605,0.0,0.0
Obstructive chronic bronchitis with (acute) exacerbation,0.468,0.39,0.562,0.0,0.0
Gastroparesis,0.466,0.327,0.664,0.0,0.0
"Other medical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure",0.464,0.392,0.55,0.0,0.0
Malignant neoplasm of unspecified ovary,0.458,0.297,0.706,0.0,0.0
Long-term (current) use of antiplatelet/antithrombotic,0.457,0.394,0.531,0.0,0.0
Personal history of urinary calculi,0.456,0.305,0.68,0.0,0.0
Abnormal level of blood mineral,0.451,0.322,0.633,0.0,0.0
Dizziness and giddiness,0.449,0.332,0.608,0.0,0.0
"Body mass index (BMI) 23.0-23.9, adult",0.444,0.353,0.558,0.0,0.0
"Cocaine use, unspecified, uncomplicated",0.442,0.28,0.698,0.0,0.0
Pain in left knee,0.441,0.284,0.685,0.0,0.0
Neurologic neglect syndrome,0.434,0.276,0.683,0.0,0.0
Other specified diseases of liver,0.429,0.333,0.554,0.0,0.0
Other esophagitis,0.426,0.272,0.668,0.0,0.0
Personal history of peptic ulcer disease,0.425,0.295,0.614,0.0,0.0
Proteus (mirabilis) (morganii) as the cause of diseases classified elsewhere,0.422,0.298,0.597,0.0,0.0
"Hemiplegia, unspecified affecting right nondominant side",0.422,0.279,0.637,0.0,0.0
Inadequate sleep hygiene,0.421,0.294,0.601,0.0,0.0
Chylous effusion,0.419,0.286,0.613,0.0,0.0
Other constipation,0.419,0.332,0.529,0.0,0.0
"Atherosclerosis of native arteries of extremities with intermittent claudication, unspecified extremity",0.413,0.279,0.614,0.0,0.0
"Kidney dialysis as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure",0.408,0.263,0.634,0.0,0.0
Chronic passive congestion of liver,0.407,0.255,0.649,0.0,0.0
"Crohn's disease, unspecified, with unspecified complications",0.406,0.285,0.577,0.0,0.0
Other specified diabetes mellitus without complications,0.396,0.241,0.65,0.0,0.0
"Surgical operation with anastomosis, bypass or graft as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure",0.396,0.32,0.489,0.0,0.0
"Other disorders of electrolyte and fluid balance, not elsewhere classified",0.392,0.246,0.625,0.0,0.0
Therapeutic (nonsurgical) and rehabilitative anesthesiology devices associated with adverse incidents,0.391,0.299,0.511,0.0,0.0
Intercostal pain,0.388,0.31,0.486,0.0,0.0
Rash and other nonspecific skin eruption,0.386,0.283,0.527,0.0,0.0
Lack of housing,0.385,0.256,0.58,0.0,0.0
Generalized edema,0.383,0.301,0.488,0.0,0.0
Presence of other heart-valve replacement,0.38,0.297,0.486,0.0,0.0
"Gastric ulcer, unspecified as acute or chronic, without mention of hemorrhage or perforation, without mention of obstruction",0.379,0.236,0.608,0.0,0.0
Acute embolism and thrombosis of superficial veins of unspecified upper extremity,0.374,0.237,0.59,0.0,0.0
Peliosis hepatis,0.37,0.214,0.64,0.0,0.0
Alcohol dependence with withdrawal with perceptual disturbance,0.366,0.264,0.507,0.0,0.0
Other acute postprocedural pain,0.364,0.228,0.579,0.0,0.0
Nonspecific abnormal findings in stool contents,0.361,0.223,0.586,0.0,0.0
Long term (current) use of oral hypoglycemic drugs,0.36,0.239,0.542,0.0,0.0
Other psychotic disorder not due to a substance or known physiological condition,0.355,0.23,0.548,0.0,0.0
Drug induced constipation,0.348,0.205,0.59,0.0,0.0
"Other specified bacterial infections in conditions classified elsewhere and of unspecified site, other gram-negative organisms",0.347,0.235,0.514,0.0,0.0
Pneumonia due to Streptococcus pneumoniae,0.34,0.188,0.615,0.0,0.0
Calculus of kidney with calculus of ureter,0.34,0.233,0.494,0.0,0.0
Syncope and collapse,0.34,0.277,0.416,0.0,0.0
"Nondisplaced fracture of left radial styloid process, initial encounter for closed fracture",0.34,0.186,0.62,0.0,0.0
Malignant neoplasm of unspecified site of right female breast,0.338,0.226,0.505,0.0,0.0
Pain in unspecified hip,0.337,0.231,0.493,0.0,0.0
Chronic total occlusion of artery of the extremities,0.336,0.204,0.554,0.0,0.0
"Chest pain, unspecified",0.333,0.268,0.414,0.0,0.0
Other specified vaccinations against streptococcus pneumoniae [pneumococcus],0.33,0.199,0.55,0.0,0.0
Colostomy status,0.329,0.234,0.464,0.0,0.0
Suicidal ideations,0.329,0.221,0.492,0.0,0.0
"Cellulitis and abscess of foot, except toes",0.324,0.204,0.515,0.0,0.0
Psoriatic juvenile arthropathy,0.321,0.176,0.586,0.0,0.0
Benign neoplasm of appendix,0.317,0.224,0.45,0.0,0.0
"Diabetes mellitus without mention of complication, type II or unspecified type, uncontrolled",0.317,0.232,0.432,0.0,0.0
Epigastric pain,0.317,0.192,0.523,0.0,0.0
"Body Mass Index 27.0-27.9, adult",0.313,0.174,0.562,0.0,0.0
"Unilateral primary osteoarthritis, right knee",0.312,0.189,0.516,0.0,0.0
Essential and other specified forms of tremor,0.309,0.19,0.504,0.0,0.0
Acute systolic heart failure,0.308,0.22,0.43,0.0,0.0
"Acute embolism and thrombosis of deep veins of upper extremity, bilateral",0.306,0.195,0.481,0.0,0.0
Malignant hypertensive heart disease with heart failure,0.305,0.253,0.368,0.0,0.0
Other specified antibiotics causing adverse effects in therapeutic use,0.299,0.181,0.492,0.0,0.0
"Body mass index (BMI) 32.0-32.9, adult",0.296,0.163,0.536,0.0,0.0
"Surgical operation with formation of external stoma causing abnormal patient reaction, or later complication, without mention of misadventure at time of operation",0.291,0.174,0.488,0.0,0.0
Nontoxic uninodular goiter,0.286,0.189,0.43,0.0,0.0
"Allergic rhinitis, unspecified",0.285,0.153,0.532,0.0,0.0
Abscess of liver,0.285,0.157,0.52,0.0,0.0
"Osteomyelitis of vertebra, cervicothoracic region",0.285,0.157,0.516,0.0,0.0
Other disturbances of skin sensation,0.282,0.177,0.449,0.0,0.0
"Hyperglycemia, unspecified",0.28,0.207,0.379,0.0,0.0
Other second degree atrioventricular block,0.279,0.137,0.566,0.0,0.0
Morbid (severe) obesity with alveolar hypoventilation,0.278,0.174,0.447,0.0,0.0
"Post-traumatic stress disorder, unspecified",0.274,0.181,0.413,0.0,0.0
"Ataxia, unspecified",0.269,0.173,0.418,0.0,0.0
"Migraine, unspecified, without mention of intractable migraine without mention of status migrainosus",0.268,0.197,0.365,0.0,0.0
Benign essential hypertension,0.268,0.208,0.346,0.0,0.0
Takotsubo syndrome,0.264,0.152,0.46,0.0,0.0
Personal history of tuberculosis,0.264,0.14,0.495,0.0,0.0
Personal history of other infectious and parasitic diseases,0.264,0.127,0.545,0.0,0.0
Personal history of malignant neoplasm of esophagus,0.254,0.14,0.463,0.0,0.0
Hypertensive urgency,0.253,0.13,0.495,0.0,0.0
"Difficulty in walking, not elsewhere classified",0.252,0.128,0.495,0.0,0.0
Malignant neoplasm of frontal lobe,0.248,0.115,0.535,0.0,0.0
Incisional hernia without obstruction or gangrene,0.244,0.12,0.496,0.0,0.0
"Dental caries, unspecified",0.243,0.129,0.458,0.0,0.0
"Dementia, unspecified, with behavioral disturbance",0.241,0.125,0.463,0.0,0.0
"Schizoaffective disorder, depressive type",0.239,0.151,0.378,0.0,0.0
Other specified renal tubulo-interstitial diseases,0.239,0.136,0.417,0.0,0.0
Personal history of pneumonia (recurrent),0.237,0.134,0.421,0.0,0.0
Other complication of respirator [ventilator],0.227,0.12,0.43,0.0,0.0
Other cardiomyopathies,0.226,0.13,0.392,0.0,0.0
Carrier of bacterial disease due to meningococci,0.224,0.101,0.497,0.0,0.0
"Cardiac catheterization as the cause of abnormal reaction of patient, or of later complication, without mention of misadventure at time of procedure",0.222,0.15,0.328,0.0,0.0
"Secondary and unspecified malignant neoplasm of lymph node, unspecified",0.221,0.116,0.422,0.0,0.0
"Peptic ulcer, site unspecified, unspecified as acute or chronic, without hemorrhage or perforation",0.221,0.131,0.372,0.0,0.0
"Swelling, mass, or lump in chest",0.221,0.1,0.485,0.0,0.0
Personal history of malignant neoplasm of other sites,0.221,0.109,0.447,0.0,0.0
Malignant neoplasm of gallbladder,0.22,0.097,0.5,0.0,0.0
Internal hemorrhoids with other complication,0.218,0.102,0.464,0.0,0.0
"Homonymous bilateral field defects, right side",0.215,0.127,0.364,0.0,0.0
Dyskinesia of esophagus,0.209,0.11,0.396,0.0,0.0
Cephalosporin group causing adverse effects in therapeutic use,0.207,0.106,0.403,0.0,0.0
"Cerebral aneurysm, nonruptured",0.197,0.114,0.34,0.0,0.0
Encounter for antineoplastic chemotherapy,0.197,0.146,0.266,0.0,0.0
"Abrasion, unspecified thigh, initial encounter",0.194,0.077,0.484,0.0,0.0
Penicillins causing adverse effects in therapeutic use,0.192,0.087,0.423,0.0,0.0
Type 1 diabetes mellitus with diabetic neuropathic arthropathy,0.191,0.106,0.344,0.0,0.0
"Other specified disorders of bone density and structure, right shoulder",0.191,0.115,0.317,0.0,0.0
Infective pericarditis,0.188,0.08,0.442,0.0,0.0
Malignant neoplasm of body of pancreas,0.187,0.081,0.435,0.0,0.0
"Chronic tubulo-interstitial nephritis, unspecified",0.186,0.116,0.296,0.0,0.0
Sickle-cell trait,0.184,0.091,0.369,0.0,0.0
Other postablative hypothyroidism,0.181,0.073,0.45,0.0,0.0
Esophageal varices without mention of bleeding,0.181,0.104,0.317,0.0,0.0
"Body mass index (BMI) 26.0-26.9, adult",0.181,0.096,0.34,0.0,0.0
Insulin pump status,0.18,0.081,0.401,0.0,0.0
"Body mass index (BMI) 38.0-38.9, adult",0.18,0.086,0.379,0.0,0.0
Postsurgical hypothyroidism,0.179,0.119,0.27,0.0,0.0
Projectile vomiting,0.176,0.068,0.455,0.0,0.0
Carrier or suspected carrier of Methicillin resistant Staphylococcus aureus,0.174,0.092,0.327,0.0,0.0
"Dysphagia, oropharyngeal phase",0.173,0.123,0.245,0.0,0.0
Need for prophylactic vaccination and inoculation against unspecified single disease,0.173,0.129,0.233,0.0,0.0
"Disorder of brain, unspecified",0.171,0.07,0.417,0.0,0.0
"Hypertensive chronic kidney disease, benign, with chronic kidney disease stage I through stage IV, or unspecified",0.171,0.098,0.298,0.0,0.0
"Angioneurotic edema, initial encounter",0.169,0.071,0.403,0.0,0.0
Enterostomy hemorrhage,0.168,0.08,0.356,0.0,0.0
"Abdominal pain, right upper quadrant",0.168,0.085,0.331,0.0,0.0
Bed confinement status,0.168,0.1,0.281,0.0,0.0
Urge incontinence,0.167,0.067,0.414,0.0,0.0
Congenital dyserythropoietic anemia,0.165,0.099,0.276,0.0,0.0
Personal history of allergy to penicillin,0.165,0.069,0.393,0.0,0.0
Pleural plaque without asbestos,0.163,0.089,0.3,0.0,0.0
Malignant neoplasm of ascending colon,0.162,0.066,0.402,0.0,0.0
Visual agnosia,0.159,0.07,0.364,0.0,0.0
Secondary malignant neoplasm of genital organs,0.158,0.066,0.377,0.0,0.0
Edema of larynx,0.156,0.071,0.345,0.0,0.0
"Systemic lupus erythematosus, unspecified",0.155,0.092,0.262,0.0,0.0
"Other restorative surgery causing abnormal patient reaction, or later complication, without mention of misadventure at time of operation",0.155,0.081,0.298,0.0,0.0
Other speech and language deficits following nontraumatic intracerebral hemorrhage,0.153,0.06,0.39,0.0,0.0
Shortness of breath,0.148,0.074,0.299,0.0,0.0
Other and unspecified anticonvulsants causing adverse effects in therapeutic use,0.147,0.056,0.385,0.0,0.0
Benign essential microscopic hematuria,0.146,0.072,0.296,0.0,0.0
Myasthenia gravis without (acute) exacerbation,0.145,0.07,0.301,0.0,0.0
Aneurysm of heart,0.137,0.046,0.412,0.0,0.0
Bronchiectasis with acute lower respiratory infection,0.137,0.056,0.336,0.0,0.0
Rupture of chordae tendineae,0.126,0.043,0.366,0.0,0.0
Diaphragmatic hernia with obstruction,0.126,0.042,0.379,0.0,0.0
"Cerebral palsy, unspecified",0.125,0.043,0.358,0.0,0.0
"Hypertensive chronic kidney disease, benign, with chronic kidney disease stage V or end stage renal disease",0.124,0.041,0.374,0.0,0.0
Malignant neoplasm of temporal lobe,0.123,0.048,0.314,0.0,0.0
Iodine-deficiency related diffuse (endemic) goiter,0.123,0.041,0.372,0.0,0.0
"Alcohol abuse, in remission",0.122,0.047,0.319,0.0,0.0
"Localized swelling, mass and lump, unspecified upper limb",0.121,0.038,0.382,0.0,0.0
Procedure and treatment not carried out due to patient leaving prior to being seen by health care provider,0.121,0.058,0.253,0.0,0.0
Sympatholytics [antiadrenergics] causing adverse effects in therapeutic use,0.119,0.043,0.331,0.0,0.0
Acute pyelonephritis without lesion of renal medullary necrosis,0.116,0.058,0.232,0.0,0.0
Dermatophytosis of groin and perianal area,0.114,0.036,0.361,0.0,0.0
Unspecified enterovirus as the cause of diseases classified elsewhere,0.113,0.037,0.344,0.0,0.0
"Other secondary osteonecrosis, pelvis",0.112,0.041,0.309,0.0,0.0
Acute bronchitis,0.111,0.05,0.245,0.0,0.0
"Other antipsychotics, neuroleptics, and major tranquilizers causing adverse effects in therapeutic use",0.11,0.035,0.343,0.0,0.0
Angiodysplasia of colon without hemorrhage,0.109,0.036,0.325,0.0,0.0
Other malformations of cerebral vessels,0.108,0.043,0.27,0.0,0.0
Sulfonamides causing adverse effects in therapeutic use,0.108,0.041,0.284,0.0,0.0
